size,type,threshold,median_us
4700,almost,50,321
4800,random,0,1195
4800,reversed,0,876
4800,almost,0,927
4800,random,5,794
4800,reversed,5,495
4800,almost,5,520
4800,random,10,721
4800,reversed,10,420
4800,almost,10,431
4800,random,20,680
4800,reversed,20,425
4800,almost,20,373
4800,random,30,678
4800,reversed,30,417
4800,almost,30,464
4800,random,50,712
4800,reversed,50,534
4800,almost,50,324
4900,random,0,1236
4900,reversed,0,919
4900,almost,0,986
4900,random,5,816
4900,reversed,5,514
4900,almost,5,569
4900,random,10,740
4900,reversed,10,436
4900,almost,10,447
4900,random,20,717
4900,reversed,20,422
4900,almost,20,379
4900,random,30,699
4900,reversed,30,426
4900,almost,30,382
4900,random,50,727
4900,reversed,50,807
4900,almost,50,335
5000,random,0,1248
5000,reversed,0,932
5000,almost,0,945
5000,random,5,827
5000,reversed,5,514
5000,almost,5,535
5000,random,10,760
5000,reversed,10,446
5000,almost,10,449
5000,random,20,719
5000,reversed,20,436
5000,almost,20,388
5000,random,30,714
5000,reversed,30,441
5000,almost,30,390
5000,random,50,746
5000,reversed,50,568
5000,almost,50,343
5100,random,0,1323
5100,reversed,0,941
5100,almost,0,1034
5100,random,5,846
5100,reversed,5,1001
5100,almost,5,1026
5100,random,10,1311
5100,reversed,10,446
5100,almost,10,464
5100,random,20,756
5100,reversed,20,491
5100,almost,20,400
5100,random,30,728
5100,reversed,30,445
5100,almost,30,406
5100,random,50,754
5100,reversed,50,583
5100,almost,50,349
5200,random,0,1300
5200,reversed,0,962
5200,almost,0,1020
5200,random,5,885
5200,reversed,5,543
5200,almost,5,579
5200,random,10,784
5200,reversed,10,470
5200,almost,10,479
5200,random,20,832
5200,reversed,20,456
5200,almost,20,422
5200,random,30,749
5200,reversed,30,463
5200,almost,30,401
5200,random,50,779
5200,reversed,50,605
5200,almost,50,355
5300,random,0,1315
5300,reversed,0,981
5300,almost,0,1007
5300,random,5,923
5300,reversed,5,565
5300,almost,5,584
5300,random,10,826
5300,reversed,10,554
5300,almost,10,508
5300,random,20,786
5300,reversed,20,468
5300,almost,20,545
5300,random,30,762
5300,reversed,30,475
5300,almost,30,415
5300,random,50,797
5300,reversed,50,630
5300,almost,50,365
5400,random,0,1349
5400,reversed,0,1007
5400,almost,0,1052
5400,random,5,932
5400,reversed,5,586
5400,almost,5,1150
5400,random,10,988
5400,reversed,10,1059
5400,almost,10,546
5400,random,20,818
5400,reversed,20,476
5400,almost,20,485
5400,random,30,784
5400,reversed,30,496
5400,almost,30,417
5400,random,50,829
5400,reversed,50,658
5400,almost,50,378
5500,random,0,1390
5500,reversed,0,1027
5500,almost,0,1079
5500,random,5,970
5500,reversed,5,603
5500,almost,5,632
5500,random,10,897
5500,reversed,10,546
5500,almost,10,556
5500,random,20,840
5500,reversed,20,482
5500,almost,20,490
5500,random,30,818
5500,reversed,30,501
5500,almost,30,425
5500,random,50,834
5500,reversed,50,665
5500,almost,50,374
5600,random,0,1388
5600,reversed,0,1053
5600,almost,0,1086
5600,random,5,984
5600,reversed,5,615
5600,almost,5,647
5600,random,10,914
5600,reversed,10,557
5600,almost,10,574
5600,random,20,847
5600,reversed,20,494
5600,almost,20,502
5600,random,30,808
5600,reversed,30,508
5600,almost,30,439
5600,random,50,850
5600,reversed,50,679
5600,almost,50,380
5700,random,0,1430
5700,reversed,0,1078
5700,almost,0,2127
5700,random,5,1018
5700,reversed,5,669
5700,almost,5,717
5700,random,10,1451
5700,reversed,10,576
5700,almost,10,600
5700,random,20,865
5700,reversed,20,513
5700,almost,20,507
5700,random,30,838
5700,reversed,30,517
5700,almost,30,447
5700,random,50,895
5700,reversed,50,744
5700,almost,50,400
5800,random,0,1475
5800,reversed,0,1110
5800,almost,0,1110
5800,random,5,1101
5800,reversed,5,656
5800,almost,5,717
5800,random,10,1014
5800,reversed,10,595
5800,almost,10,791
5800,random,20,888
5800,reversed,20,521
5800,almost,20,518
5800,random,30,854
5800,reversed,30,539
5800,almost,30,453
5800,random,50,903
5800,reversed,50,735
5800,almost,50,400
5900,random,0,1481
5900,reversed,0,1141
5900,almost,0,1166
5900,random,5,1072
5900,reversed,5,728
5900,almost,5,717
5900,random,10,968
5900,reversed,10,611
5900,almost,10,636
5900,random,20,896
