Size,ArrayType,Algorithm,TimeMs,Comparisons
800,Reverse_Sorted,QuickSort,0.4232,334906
800,Reverse_Sorted,TernaryQuickSort,0.0238,18751
800,Reverse_Sorted,StringMergeSort,0.3981,13506
800,Reverse_Sorted,MSDRadix,0.0758,0
800,Reverse_Sorted,MSDRadix_Fallback,0.0236,12176
800,Nearly_Sorted,MergeSort,0.3884,9197
800,Nearly_Sorted,QuickSort,0.0721,48830
800,Nearly_Sorted,TernaryQuickSort,0.0226,16537
800,Nearly_Sorted,StringMergeSort,0.3874,22127
800,Nearly_Sorted,MSDRadix,0.0676,0
800,Nearly_Sorted,MSDRadix_Fallback,0.0156,7950
800,Common_Prefix,MergeSort,0.4925,102767
800,Common_Prefix,QuickSort,0.0941,127828
800,Common_Prefix,TernaryQuickSort,0.0389,33532
800,Common_Prefix,StringMergeSort,0.5029,116073
800,Common_Prefix,MSDRadix,0.1096,0
800,Common_Prefix,MSDRadix_Fallback,0.0711,3173
900,Random,MergeSort,0.4655,10174
900,Random,QuickSort,0.0587,12589
900,Random,TernaryQuickSort,0.0344,14091
900,Random,StringMergeSort,0.4667,25636
900,Random,MSDRadix,0.0630,0
900,Random,MSDRadix_Fallback,0.0165,3698
900,Reverse_Sorted,MergeSort,0.4000,6959
900,Reverse_Sorted,QuickSort,0.4886,421730
900,Reverse_Sorted,TernaryQuickSort,0.0253,21764
900,Reverse_Sorted,StringMergeSort,0.3997,15567
900,Reverse_Sorted,MSDRadix,0.0864,0
900,Reverse_Sorted,MSDRadix_Fallback,0.0290,13684
900,Nearly_Sorted,MergeSort,0.4294,10336
900,Nearly_Sorted,QuickSort,0.0967,68620
900,Nearly_Sorted,TernaryQuickSort,0.0290,26008
900,Nearly_Sorted,StringMergeSort,0.4371,24936
900,Nearly_Sorted,MSDRadix,0.0779,0
900,Nearly_Sorted,MSDRadix_Fallback,0.0173,8935
900,Common_Prefix,MergeSort,0.5496,118199
900,Common_Prefix,QuickSort,0.1093,148438
900,Common_Prefix,TernaryQuickSort,0.0435,38319
900,Common_Prefix,StringMergeSort,0.5494,133461
900,Common_Prefix,MSDRadix,0.1231,0
900,Common_Prefix,MSDRadix_Fallback,0.0819,3794
1000,Random,MergeSort,0.5565,11543
1000,Random,QuickSort,0.0720,14243
1000,Random,TernaryQuickSort,0.0393,17754
1000,Random,StringMergeSort,0.5402,28955
1000,Random,MSDRadix,0.0667,0
1000,Random,MSDRadix_Fallback,0.0198,4340
1000,Reverse_Sorted,MergeSort,0.4537,7938
1000,Reverse_Sorted,QuickSort,0.6055,518591
1000,Reverse_Sorted,TernaryQuickSort,0.0314,25792
1000,Reverse_Sorted,StringMergeSort,0.4678,17802
1000,Reverse_Sorted,MSDRadix,0.0915,0
1000,Reverse_Sorted,MSDRadix_Fallback,0.0292,15326
1000,Nearly_Sorted,MergeSort,0.4708,11404
1000,Nearly_Sorted,QuickSort,0.1383,92000
1000,Nearly_Sorted,TernaryQuickSort,0.0339,28137
1000,Nearly_Sorted,StringMergeSort,0.4909,27612
1000,Nearly_Sorted,MSDRadix,0.0864,0
1000,Nearly_Sorted,MSDRadix_Fallback,0.0205,9843
1000,Common_Prefix,MergeSort,0.6108,133675
1000,Common_Prefix,QuickSort,0.1271,181378
1000,Common_Prefix,TernaryQuickSort,0.0466,42141
1000,Common_Prefix,StringMergeSort,0.6059,150917
1000,Common_Prefix,MSDRadix,0.1305,0
1000,Common_Prefix,MSDRadix_Fallback,0.0877,4406
1100,Random,MergeSort,0.6127,12984
1100,Random,QuickSort,0.0785,15696
1100,Random,TernaryQuickSort,0.0465,17169
1100,Random,StringMergeSort,0.6322,32442
1100,Random,MSDRadix,0.0736,0
1100,Random,MSDRadix_Fallback,0.0237,5000
1100,Reverse_Sorted,MergeSort,0.5417,8725
1100,Reverse_Sorted,QuickSort,0.7150,625473
1100,Reverse_Sorted,TernaryQuickSort,0.0351,29215
1100,Reverse_Sorted,StringMergeSort,0.5407,19565
1100,Reverse_Sorted,MSDRadix,0.1009,0
1100,Reverse_Sorted,MSDRadix_Fallback,0.0321,16800
1100,Nearly_Sorted,MergeSort,0.5788,12992
1100,Nearly_Sorted,QuickSort,0.1495,88615
1100,Nearly_Sorted,TernaryQuickSort,0.0397,33997
1100,Nearly_Sorted,StringMergeSort,0.5565,31356
1100,Nearly_Sorted,MSDRadix,0.0976,0
1100,Nearly_Sorted,MSDRadix_Fallback,0.0230,10882
1100,Common_Prefix,MergeSort,0.6818,149428
1100,Common_Prefix,QuickSort,0.1409,185856
1100,Common_Prefix,TernaryQuickSort,0.0509,46422
1100,Common_Prefix,StringMergeSort,0.6866,168702
1100,Common_Prefix,MSDRadix,0.1442,0
1100,Common_Prefix,MSDRadix_Fallback,0.0906,4984
1200,Random,MergeSort,0.6764,14514
1200,Random,QuickSort,0.0864,17388
1200,Random,TernaryQuickSort,0.0527,19522
1200,Random,StringMergeSort,0.6752,36108
1200,Random,MSDRadix,0.0810,0
1200,Random,MSDRadix_Fallback,0.0254,5772
1200,Reverse_Sorted,MergeSort,0.5884,9362
1200,Reverse_Sorted,QuickSort,0.8644,742755
1200,Reverse_Sorted,TernaryQuickSort,0.0414,34237
1200,Reverse_Sorted,StringMergeSort,0.5934,21202
1200,Reverse_Sorted,MSDRadix,0.1106,0
1200,Reverse_Sorted,MSDRadix_Fallback,0.0364,18690
1200,Nearly_Sorted,MergeSort,0.6072,14623
1200,Nearly_Sorted,QuickSort,0.0936,52596
1200,Nearly_Sorted,TernaryQuickSort,0.0494,46044
1200,Nearly_Sorted,StringMergeSort,0.6187,35181
1200,Nearly_Sorted,MSDRadix,0.1103,0
1200,Nearly_Sorted,MSDRadix_Fallback,0.0250,11754
1200,Common_Prefix,MergeSort,0.7959,164839
1200,Common_Prefix,QuickSort,0.1490,201557
1200,Common_Prefix,TernaryQuickSort,0.0566,50632
1200,Common_Prefix,StringMergeSort,0.7890,186063
1200,Common_Prefix,MSDRadix,0.1488,0
1200,Common_Prefix,MSDRadix_Fallback,0.1054,5635
1300,Random,MergeSort,0.7695,15990
1300,Random,QuickSort,0.1100,20795
1300,Random,TernaryQuickSort,0.0571,21385
1300,Random,StringMergeSort,0.8812,39666
1300,Random,MSDRadix,0.0902,0
1300,Random,MSDRadix_Fallback,0.0351,6531
1300,Reverse_Sorted,MergeSort,0.6758,10350
1300,Reverse_Sorted,QuickSort,1.0945,869623
1300,Reverse_Sorted,TernaryQuickSort,0.0458,38026
1300,Reverse_Sorted,StringMergeSort,0.6800,23310
1300,Reverse_Sorted,MSDRadix,0.1216,0
1300,Reverse_Sorted,MSDRadix_Fallback,0.0398,20291
1300,Nearly_Sorted,MergeSort,0.6823,16138
1300,Nearly_Sorted,QuickSort,0.1230,77834
1300,Nearly_Sorted,TernaryQuickSort,0.0522,49290
