sort_type,size,type,median_us
quicksort,6700,reversed,1191
quicksort,6700,almost,1068
hybridsort,6700,random,1180
hybridsort,6700,reversed,555
hybridsort,6700,almost,632
quicksort,6800,random,1436
quicksort,6800,reversed,1201
quicksort,6800,almost,1088
hybridsort,6800,random,879
hybridsort,6800,reversed,640
hybridsort,6800,almost,588
quicksort,6900,random,1191
quicksort,6900,reversed,1204
quicksort,6900,almost,1118
hybridsort,6900,random,918
hybridsort,6900,reversed,606
hybridsort,6900,almost,874
quicksort,7000,random,1222
quicksort,7000,reversed,1254
quicksort,7000,almost,1102
hybridsort,7000,random,1074
hybridsort,7000,reversed,598
hybridsort,7000,almost,754
quicksort,7100,random,1207
quicksort,7100,reversed,1417
quicksort,7100,almost,1149
hybridsort,7100,random,1015
hybridsort,7100,reversed,665
hybridsort,7100,almost,599
quicksort,7200,random,1319
quicksort,7200,reversed,1138
quicksort,7200,almost,1424
hybridsort,7200,random,990
hybridsort,7200,reversed,824
hybridsort,7200,almost,634
quicksort,7300,random,1287
quicksort,7300,reversed,1170
quicksort,7300,almost,1205
hybridsort,7300,random,951
hybridsort,7300,reversed,691
hybridsort,7300,almost,753
quicksort,7400,random,1369
quicksort,7400,reversed,1328
quicksort,7400,almost,1243
hybridsort,7400,random,974
hybridsort,7400,reversed,630
hybridsort,7400,almost,722
quicksort,7500,random,1334
quicksort,7500,reversed,1269
quicksort,7500,almost,1186
hybridsort,7500,random,1025
hybridsort,7500,reversed,639
hybridsort,7500,almost,741
quicksort,7600,random,1318
quicksort,7600,reversed,1319
quicksort,7600,almost,1274
hybridsort,7600,random,1136
hybridsort,7600,reversed,660
hybridsort,7600,almost,697
quicksort,7700,random,1409
quicksort,7700,reversed,1322
quicksort,7700,almost,1253
hybridsort,7700,random,1045
hybridsort,7700,reversed,666
hybridsort,7700,almost,694
quicksort,7800,random,1395
quicksort,7800,reversed,1382
quicksort,7800,almost,1259
hybridsort,7800,random,1415
hybridsort,7800,reversed,703
hybridsort,7800,almost,759
quicksort,7900,random,1372
quicksort,7900,reversed,1331
quicksort,7900,almost,1259
hybridsort,7900,random,1105
hybridsort,7900,reversed,688
hybridsort,7900,almost,763
quicksort,8000,random,1402
quicksort,8000,reversed,1642
quicksort,8000,almost,1379
hybridsort,8000,random,1066
hybridsort,8000,reversed,708
hybridsort,8000,almost,754
quicksort,8100,random,1403
quicksort,8100,reversed,1685
quicksort,8100,almost,1415
hybridsort,8100,random,1156
hybridsort,8100,reversed,970
hybridsort,8100,almost,720
quicksort,8200,random,1402
quicksort,8200,reversed,1308
quicksort,8200,almost,1297
hybridsort,8200,random,1136
hybridsort,8200,reversed,905
hybridsort,8200,almost,723
quicksort,8300,random,1495
quicksort,8300,reversed,1359
quicksort,8300,almost,1333
hybridsort,8300,random,1239
hybridsort,8300,reversed,738
hybridsort,8300,almost,850
quicksort,8400,random,1798
quicksort,8400,reversed,1391
quicksort,8400,almost,1362
hybridsort,8400,random,1229
hybridsort,8400,reversed,759
hybridsort,8400,almost,828
quicksort,8500,random,1966
quicksort,8500,reversed,1375
quicksort,8500,almost,1591
hybridsort,8500,random,1195
hybridsort,8500,reversed,866
hybridsort,8500,almost,977
quicksort,8600,random,1500
quicksort,8600,reversed,1367
quicksort,8600,almost,1816
hybridsort,8600,random,1246
hybridsort,8600,reversed,767
hybridsort,8600,almost,735
quicksort,8700,random,1563
quicksort,8700,reversed,1714
quicksort,8700,almost,1717
hybridsort,8700,random,1181
hybridsort,8700,reversed,831
hybridsort,8700,almost,864
quicksort,8800,random,1610
quicksort,8800,reversed,1391
quicksort,8800,almost,1381
hybridsort,8800,random,1651
hybridsort,8800,reversed,774
hybridsort,8800,almost,1074
quicksort,8900,random,1569
quicksort,8900,reversed,1468
quicksort,8900,almost,1458
hybridsort,8900,random,1337
hybridsort,8900,reversed,815
hybridsort,8900,almost,817
quicksort,9000,random,1660
quicksort,9000,reversed,1693
quicksort,9000,almost,1862
hybridsort,9000,random,1275
hybridsort,9000,reversed,1156
hybridsort,9000,almost,888
quicksort,9100,random,1610
quicksort,9100,reversed,1587
quicksort,9100,almost,1481
hybridsort,9100,random,1686
hybridsort,9100,reversed,1138
hybridsort,9100,almost,955
quicksort,9200,random,1671
quicksort,9200,reversed,1545
quicksort,9200,almost,1485
hybridsort,9200,random,1322
hybridsort,9200,reversed,980
hybridsort,9200,almost,873
quicksort,9300,random,1726
quicksort,9300,reversed,1672
quicksort,9300,almost,1603
hybridsort,9300,random,1605
hybridsort,9300,reversed,885
hybridsort,9300,almost,835
quicksort,9400,random,2024
quicksort,9400,reversed,2578
quicksort,9400,almost,1684
hybridsort,9400,random,1392
hybridsort,9400,reversed,888
